date,artificial intelligence,crime,education,elections,entertainment,environment,finance,health,immigration,international relations,pandemics,politics,protests,science,sports,technology,videogames,war
2023-11-18,,,,,,,,,,,,,,,las vegas grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,
2023-11-19,,,,argentine presidential election following the first round on october javier milei wins in the second round of the election assuming office on december with victoria villarruel as his vice president,,,,,,,,,,,,,,
2023-11-20,,,,marshallese general election,,,,,,,,,,a study of censorship in science finds it to be often driven by scientists themselves motivated by prosocial concerns or reputation protection,the us mens national soccer team qualifies for the copa américa which will be hosted in the united states,a boeing pa poseidon operated by the united states navy overshot the runway at marine corps air station kaneohe bay kaneohe hawaii no one died,,
2023-11-21,,,,,,,,republican chris stewart resigned as representative of utahs nd congressional district to focus on his wifes ongoing health issues republican celeste maloy stewarts former legal counsel won the special election to succeed him defeating democrat kathleen riebe and other third party candidates,,the chinese foreign ministry warns argentina against severing ties as a serious mistake after presidentelect javier milei vowed to do so,,,,,davis cup finals tennis international winner italy,,,israelhamas war hostage crisis a deal brokered by the us egypt and qatar sees the release of hamasheld hostages including american citizens held in gaza
2023-11-22,,,,dutch general election,,,,,,,,,,,,an autonomous excavator is demonstrated using sensors the machine can generate d maps of a construction site localising individual blocks and stones in order to build a wall,,
2023-11-23,,riots broke out in dublin ireland after a mass stabbing on parnell square east which injured people,,,,,,,,,,,propalestinian protesters disrupt the macys thanksgiving day parade in three locations by wearing white jumpsuits covered in fake blood and gluing themselves to the parade route,,,,,
2023-11-24,,,,,,,,,somalia is admitted as the eighth member of the east african community having applied for membership in,,,,,,,,,
2023-11-25,,,,rajasthan legislative assembly election,,,,,,,,,,,,,,antipalestinianism during the gaza war three palestinian students are shot and injured in burlington vermont while on thanksgiving break after the suspect harasses them for speaking arabic and wearing keffiyehs to show solidarity with palestine amid the ongoing war in gaza
2023-11-26,,,,north korean local elections,,,,,,,,,,astronomers report evidence for the first time of an overmassive black hole galaxy obg the result of heavy black hole seed formation from direct collapse an alternative way of producing a black hole other than the collapse of a dead star this discovery was found in studies of uhz a very early galaxy containing a quasar by the chandra xray observatory and james webb space telescope,abu dhabi grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,
2023-11-27,,,,,,,,,,a chinese court commences compensation hearings for the chinese relatives of passengers on malaysia airlines flight,,after forming a coalition government with the rightwing act and new zealand first parties christopher luxon is sworn in as the nd prime minister of new zealand the new administration opposes policies promoting mori culture and addressing inequity between mori and nonmori which leads to allegations of inflaming racial tensions,,,,,,
2023-11-28,,,,,,,,,,,,,,,next generation atp finals tennis international winner hamad medjedovic,unity technologies announced another set of layoffs consisting of or employees as part of a company reset following its licensing changes in september,,
2023-11-29,,the us alleges a plot by the indian government to assassinate the new yorkbased sikh separatist gurpatwant singh pannun a spokesperson for the prokhalistan group sikhs for justice an indian government employee is the target of an indictment in new york for their alleged role in the assassination plot,,,,,,,,,,,,,,,,
2023-11-30,,,,telangana legislative assembly election,,,,,,brazil announces it will join opec at a meeting of the organization to discuss oil output strategy in brazil is the largest oil producer in south america producing million barrels per day of oil and gas,,,,,,amkor technology announced plans to build a billion semiconductor advanced packaging facility in phoenix arizona the project is expected to generate up to jobs,,
2023-12-01,,,,,,,,,,,,the house votes to expel george santos on fraud and corruption allegations the first congressional expulsion since james traficant in,,,,,,
2023-12-03,,,,venezuelan referendum,,,alaska airlines announces it has agreed to buy hawaiian airlines for billion a deal yet to be approved by regulators,,,,,guyanavenezuela crisis venezuela votes in a symbolic referendum on whether voters agreed with creating a subdivision in the disputed territory of guayana esequiba currently under the control of neighboring guyana analysts say the referendums practical implications are likely to be minimal,,,asian baseball championship baseball continental winner japan,,,
2023-12-04,,,,,,,,,,,,north dakota governor doug burgum suspends his campaign for president,,,,,,
2023-12-05,,,,,,,,,,,,,,,european short course swimming championships swimming continental winner great britain,,,
2023-12-06,,,,,,unlv shooting a suspect kills three people and injures one other in a shooting spree before dying in a shootout with police,,,,,,,,archaeologists discover an ancient han dynasty tomb,,google deepmind releases the gemini language model gemini will act as a foundational model integrated into googles existing tools including search and bard,,
2023-12-07,,,,,,,,,,,,,,,,,the game awards honoring the best video games of the year took place at the peacock theater in los angeles,
2023-12-08,,,,,,,,,,,,,,,africa womens basketball league basketball continental winner sporting alexandria acc under asia cup cricket continental winner bangladesh,,,
2023-12-09,,,,,,,,,,,,,,,nba inseason tournament championship game basketball domestic winner los angeles lakers,,,
2023-12-11,,,,,,,,,,,,,free radical design was shut down as part of the fallout from embracer groups failed billion deal,researchers demonstrate the use of biologicalelectronic hybrid organoid intelligence brainoware see march for speech recognition,,,google was found to have maintained an illegal monopoly in the android market by a jury trial in epic games v google,
2023-12-12,,at the cop climate summit in dubai a consensus is reached for countries to transition away from fossil fuels the first such agreement in the conferences year history the transition is specifically for energy systems excluding plastics transport or agriculture,,egyptian presidential election december,,the esa confirmed that they would no longer hold e trade shows for the foreseeable future asteroid leona occults the bright star betelgeuse for about seconds as viewed on a narrow path from china to mexico,,,,,,,,,fifa club world cup association football international winner manchester city,the new york state governor announced plans for a billion chip research center involving ibm micron and other partners,,
2023-12-14,,,,,,beijing subway collision at least people are injured in a rearend collision between railroad cars on the beijing subway near the xierqi station amid snowfall,,,,,,,,,,,,
2023-12-15,google deepmind claims to have made the first ever scientific discovery with an ai chatbot by building a factchecker to filter out useless outputs leaving useful solutions to mathematical or computing problems,fourteen workers at tenerife south airport were arrested on suspicion of stealing items from checkedin luggage police seized allegedly stolen items worth almost two million euros,,rudy giuliani is ordered to pay over million in a defamation case brought by two georgia election workers relating to statements that he made during the election,,,,,,,,,,,,,activision blizzard and the california civil rights department agreed to a million settlement in the lawsuit into sexual harassment at the company,
2023-12-16,,,,,,emir of kuwait nawaf alahmad aljaber alsabah dies at the age of and is succeeded by his halfbrother mishal alahmad aljaber alsabah,,,,,,,,,,,,
2023-12-17,,,,serbian parliamentary election the serbian parliamentary election is held with the sns coalition led by milo vuevi winning of seats in the serbian national assembly andorran local elections vojvodina provincial election belgrade city assembly election serbian local elections,,,,,,,,chilean constitutional referendum chadian constitutional referendum,,,,,,
2023-12-18,,,,iraqi governorate elections,,,,,,,,,,,,,,a number of shipping companies announce a temporary suspension of their operations in the red sea due to continued attacks on vessels by houthi rebels
2023-12-19,,,,,,,,covid the world health organization designates jn part of the ba sarscov lineage as its own variant of interest this follows a recent rapid rise in case numbers around the world,,,,,,,,,insomniac games suffered a data breach and had its tenyear plans released as well as personnel information and several historical details around the company and sony interactive entertainment after failing to pay the hacking group to prevent its release,
2023-12-20,,twelve people are killed and others injured when a mining cart runs off the tracks in jixi heilongjiang,,,,,,,,,,democratic republic of the congo general election incumbent president félix tshisekedi wins reelection defeating two major challengers,,,,,,
2023-12-21,,,,,,,,,,,,,,,,a new look for bluesky the social butterfly a new look for bluesky the social butterfly and a public web interface waaree announced plans to invest up to billion over the next four years to scale its houston texas facility,,
2023-12-22,,,,,,,,,,,,,,,,,china passes a series of regulations aimed at limiting video game microtransactions the new rules include banning rewards for logging on for multiple consecutive days and banning rewards for players if they spend money in a game for the first time,gaza war the death toll in gaza is reported to have passed almost of its population and surpassing the casualties in the arabisraeli war
2023-12-24,,,,democratic republic of the congo general election december,,,,,,,,,,,nfl season the detroit lions win their first divisional title in years,,,
2023-12-26,,,,,,,,,,,,,,,nba season the detroit pistons break the singleseason record for the most amount of losses in a national basketball association regular season with consecutive losses surpassing the records set by the cleveland cavaliers and philadelphia ers,,,
2023-12-28,,,,,,,,,,,,,maine secretary of state shenna bellows blocks trump from running in the states republican primary due to the th amendments insurrection clause,a new model of the largest neutron stars finds an chance that they contain quarkmatter cores,,,,
2023-12-29,,,,,,,,,,,,the national peoples congress of china appoints commander of the peoples liberation army navy dong jun as the minister of national defense succeeding li shangfu,,a metascience study estimates the total amount of article processing charges paid to publish with open access in journals controlled by the five large commercial publishers from to be billion on december it is reported that the number of paper retractions has hit a new record of over in with around coming from journals owned by hindawi mostly special issues overseen by guest editors,united cup tennis international winner germany,as part of microsofts acquisition bobby kotick retired from activision blizzard after being its ceo for years,,
2023-12-31,,,,,,,,,,,,queen margrethe ii of denmark announces her abdication effective january after years on the throne,,,,,,
2024-01-02,,attempted assassination of lee jaemyung south korean opposition leader lee jaemyung is stabbed in the neck in gadeokdo busan,harvard university president claudine gay announces her resignation following a contentious house hearing on antisemitism and allegations of plagiarism in her earlier academic career,marshallese general election the legislature of the marshall islands elects hilda heine as president for a second nonconsecutive term during its first session following the general election,,,,,,a further five were killed when a coast guard aircraft carrying humanitarian aid collides with a japan airlines passenger jet destroying both aircraft all people aboard the passenger jet were evacuated safely,,,,the japan meteorological agency jma publishes its jra dataset confirming as the warmest year on record globally at c f above the baseline this is c f above the previous record set in full citation needed,,,,
2024-01-03,,kerman bombings an islamic state double bombing kills people during a memorial event commemorating the assassination of qasem soleimani in kerman iran kerman bombings an islamic state double bombing kills people during a memorial event commemorating the assassination of qasem soleimani in kerman iran the bombing was carried out using two briefcase bombs placed at the entrance that were detonated remotely a series of documents containing the names of associates of sex offender jeffrey epstein are made available to the public a majority of those mentioned are found to not be directly involved in any wrongdoing,,,,thirteenyearold willis gibson became the first person known to beat the nes version of tetris by reaching its killscreen,,,,,,,,,,the first functional semiconductor made from graphene is created,,
2024-01-04,,,,,,,,a review indicates digital rectal examination dre is an outdated routine medical practice with a lower cancer detection rate compared to prostatespecific antigen psa testing and no benefit from combining dre and psa,,,,mohammad sabah alsalem alsabah is appointed as prime minister of kuwait,,,,,,
2024-01-05,,,,,,alaska airlines flight suffers an uncontrolled decompression after one of the emergency exit doors on the boeing max blows out resulting in an emergency landing in portland and the faa grounding all max s,,,,,,,,,,,,
2024-01-06,,,,salvadoran general election electronic voting for salvadoran expatriates in the presidential and legislative elections begins,,,,,,,,,,,,,,
2024-01-07,,,,bangladeshi general election the awami league led by incumbent sheikh hasina wins a th consecutive term amid protests by opposition parties and a large drop in voter turnout bangladeshi general election the awami league led by incumbent sheikh hasina wins a fourth consecutive term amid protests by opposition parties and a large drop in voter turnout,,,,,,,,bangladeshi general election,audacy the largest radio operator in the country files for chapter bankruptcy protection,,,,,
2024-01-08,,,,,,,,,,,,,,,college football playoff national championship american football domestic winner michigan wolverines,unity technologies twitch and discord separately announced layoffs affecting and jobs respectively,,
2024-01-09,,,,second round of bhutanese national assembly election,,,,,,,,two polish mps former interior minister mariusz kaminski and his thendeputy maciej wasik are arrested by police inside the presidential palace in warsaw following a legal dispute over their conviction and pardon for abuse of power pl on january president andrzej duda pardoned them for the second time and the police released them from prison,,,,,,
2024-01-11,,,,,,,,,,,,,riots break out throughout papua new guinea after an alleged rounding error causes pay cuts for police officers and soldiers,,,,,
2024-01-12,,,,,,pingdingshan mining explosion ten people are killed and six others are missing after an explosion at a coal mine in pingdingshan henan,,,,operation prosperity guardian a usled coalition launches airstrikes at houthi militant locations in yemen marking a retaliation to the houthis attacks on ships in the red sea,,,,,afc asian cup association football continental winner qatar,,,
2024-01-13,,,,taiwanese general election taiwan taiwanese general election presidential and parliamentary,,,,,,,,taiwanese presidential election lai chingte of the ruling democratic progressive party wins with of the vote,israelhamas war protests in the united states the march on washington for gaza takes place on the th day since the start of the israelhamas war the start of south africas genocide case against israel in the icj and a day after the yemen missile strikes attracting what is believed to be over protestors,,africa cup of nations association football continental winner ivory coast mexico city eprix fe formula racing international winner pascal wehrlein porsche,nasa fully opens the recovered container with samples from the bennu asteroid after three months of failed attempts,,
2024-01-14,,,,,,,,,,,,comorian presidential election comorian presidential election amid an opposition boycott incumbent president azali assoumani wins reelection with of the vote and only voter turnout,,,australian open tennis international winner men jannik sinnerwomen aryna sabalenka,,,
2024-01-15,,,,,,,,,,,,republican party presidential primaries ohio businessman vivek ramaswamy ends his presidential campaign after securing only of the vote in the iowa caucuses former governor of arkansas asa hutchinson ends his campaign the next day after receiving less than of the vote in the same following a brief political crisis in the aftermath of the elections bernardo arévalo is inaugurated as the nd president of guatemala,,,,,,
2024-01-16,,harvey weinstein sexual abuse cases a new lawsuit is filed by kellye croft against madison square garden entertainment chairman james l dolan accusing him of pressuring her into unwanted sex back in she also files a lawsuit against american former film producer harvey weinstein accusing him of sexually assaulting her,,,,,,,,,,,,the first successful cloning of a rhesus monkey is reported by scientists in china,,bluesky moderation report we have hired and trained a fulltime team of moderators launched and iterated on several community and individual moderation features developed and refined policies both public and internal designed and redesigned,,iran carries out a series of missile and drone strikes within balochistan pakistan claiming that it had targeted the iranian baloch militant group jaish uladl
2024-01-17,,,,,,,,,,,,,,a study in nature finds that the greenland ice sheet is melting faster than previously estimated due to the effects of calvingfront retreat the loss of m tonnes of ice an hour is sufficient to affect ocean circulation and the distribution of heat energy around the globe,womens pacific cup cricket continental winner papua new guinea,,,
2024-01-18,,,,,,,,,,,,the united states congress approves a stopgap bill to extend the deadline for government funding to march narrowly avoiding a government shutdown which would have begun at midnight january,,,,,,pakistan conducts retaliatory airstrikes on irans sistan and baluchestan province
2024-01-19,,alec baldwin is indicted for involuntary manslaughter after an accidental shooting on the set of rust in which killed cinematographer halyna hutchins and injured director joel souza,,,,,,,,,,,,,under cricket world cup cricket international winner australia,japan becomes the fifth country to achieve a soft landing on the moon with its slim mission japan becomes the fifth country to achieve a soft landing on the moon with its slim mission japan becomes the th country to achieve a soft landing on the moon with its slim mission,,
2024-01-20,,yingcai boarding school fire thirteen third grade children are killed and another is injured in a boarding school dormitory fire in dushu henan province the schools director is arrested,,,,at least people are killed across the country after two weeks of winter storms that caused dangerous road conditions and widespread power outages that could take weeks to fix,,,,,,,,,,,,
2024-01-21,,,,,,,,,,,,,,biologists report the discovery of obelisks a new class of viroidlike elements and oblins their related group of proteins in the human microbiomeneeds update,,,,
2024-01-22,,,,,,a landslide in zhaotong yunnan kills people,,,,,,,,,,,riot games laid off about staff,
2024-01-23,,,,,,,,uqturpan earthquake a magnitude earthquake strikes uqturpan county in xinjiang province killing three people all in xinjiang and injuring at least people the majority of whom are in nearby kazakhstan fortyseven buildings in china collapse while a further are damaged,,,,,,,,a viable and sustainable approach for gold recovery from ewaste is demonstrated,,
2024-01-24,,thirtynine people are killed and nine others injured during a fire at a commercial building in yushui jiangxi,,,,,,,,,,,during the standoff at eagle pass part of the broader mexicounited states border crisis the supreme court rules against texas for placing barbed wire at the border with mexico in response texas governor greg abbott announces that his state would not be following the orders of the court at least states announce their allegiance to texas including florida who has sent their own national guard unit to aid the texas national guard and texas rangers,,,,,korochansky ilyushin il crash a russian ilyushin il military transport plane carrying according to russia ukrainian prisoners of war crew members and guards crashes in russias korochansky district near the ukrainian border killing everyone on board
2024-01-25,,kenneth eugene smith an american convicted murderer is executed by means of nitrogen hypoxia he was the first person in the world to be executed by this particular method,,nepalese national assembly election,,,,,,,,,,,,the laser interferometer space antenna lisa is given the goahead by the european space agency esa it will launch in,microsoft gaming laid off staff and the president of blizzard entertainment mike ybarra left the company,
2024-01-26,,,,tuvaluan general election tuvaluan general election,,,,,,,,,,astronomers report the detection of water vapor in the atmosphere of gj d an exoplanet about twice the size of earth,diriyah eprix fe formula racing international winner race jake dennis andretti formula erace nick cassidy jaguar tcs racing,,,
2024-01-27,,the us suspends unrwa funds after claims come out that twelve staff members took part in the october attacks in which included american victims,,,,,,,,,,,,,south american indoor championships in athletics athletics continental winner brazil united cup tennis international winner unknown,,,
2024-01-28,,,,,,,,,,,,,,,,,,tower drone attack an iranian backed militant group launches a drone attack on a us base in jordan killing three and wounding fortyseven the us launches several missiles at iraq and syria in retaliation for the drone attack four days later
2024-01-29,,,,,,eidosmontréal laid off about staff as part of the continuing embracer group restructuring,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,sultan of johor ibrahim iskandar ascends to the throne as the th yang dipertuan agong of malaysia sultan of johor ibrahim iskandar ascends the throne as the th yang dipertuan agong of malaysia sultan of johor ibrahim iskandar ascends to the throne as the th yang dipertuan agong of malaysia,,nasa reports the discovery of a superearth called toi b located in the habitable zone of a red dwarf star about lightyears away,,,,
2024-02-01,,armenia officially becomes a member of the international criminal court,,,,,,,,,,,,,concacaf womens u championship association football continental winner united states european ice water swimming championships swimming continental winner poland,,,
2024-02-02,,,,,,,,,,,,,,,world aquatics championships aquatics international winner china,,,the us launches airstrikes on targets in iraq and syria in response to a deadly drone attack on a us military base the us launches airstrikes on targets in iraq and syria in response to a deadly drone attack on a us military base
2024-02-03,,,,,th gaudí awards in barcelona catalonia,,,,,,,,,,,,,
2024-02-04,,,,costa rican municipal elections azorean regional election,,,,,,,,president of namibia hage geingob dies at the age of and is succeeded by his vicepresident nangolo mbumba,,,pro bowl games american football domestic winner national football conference,,,
2024-02-06,,,,,join bluesky today bye invites sign up for bluesky no invite code required,,,,,,,former president of chile sebastián piñera dies in a helicopter crash at the age of tucker carlson interviewed vladimir putin which was the first interview putin granted to a western journalist since the russian invasion of ukraine,,,,,,
2024-02-07,,,,azerbaijani presidential election azerbaijani presidential election amid an opposition boycott president ilham aliyev is reelected to a th term azerbaijani presidential election amid an opposition boycott president ilham aliyev is reelected to a fifth term,the walt disney company announced a billion investment in epic games,,,,,,,,,,,,,
2024-02-08,,,,pakistani provincial elections pakistani general election independent politicians most of whom are members of the banned political party pakistan tehreekeinsaf win a plurality of seats in the national assembly pakistani general election independent politicians most of whom are members of the banned political party pakistan tehreekeinsaf win a plurality of seats in the national assembly,,,,,,,,pakistani general election,,,,google renames ai chatbot bard to gemini and makes it available on mobile,,
2024-02-09,,two police officers are killed and two more are injured after a speedboat suspected of belonging to drug smugglers smashes into their patrol craft in the port of barbate andalusia,,,,,,,,,,,,,,,,
2024-02-10,,ju county attack an alleged mass murder occurs in ju county shandong resulting in the deaths of at least people,,,th goya awards in valladolid castile and león,,,an analysis of outer londons minihollands active transport infrastructures indicates low traffic neighbourhoods are highly effective and costefficient measures in terms of health economic benefits,,,,,,,hyderabad eprix formula racing international winner cancelled,,,
2024-02-11,,,,finnish presidential election in the closest presidential election in finnish history alexander stubb is elected president in the second round,,,,,,,,,,,qatar totalenergies open tennis international winner iga witek super bowl lviii american football domestic winner kansas city chiefs the kansas city chiefs win super bowl lviii against the san francisco ers in overtime at allegiant stadium in las vegas the second super bowl to go into overtime after super bowl li the chiefs are the first repeat champions since the new england patriots in,,,
2024-02-12,,a shooting takes place on a train and at mount eden avenue station in new york city killing one and injuring five,,,,,,,,,,,,the first detection of water molecules on the surface of asteroids is announced following spectral analysis of iris and massalia two large mainbelt objects,,,,
2024-02-13,,,,,the academy of interactive arts sciences hosted the dice summit and the th annual dice awards at the aria resort and casino in las vegas nevada koji kondo inducted into the aias hall of fame,,,,,,,republican george santos was expelled in from the house of representatives in december after an investigation for corruption charges vacating new yorks rd congressional district in the special election democrat tom suozzi reclaimed his former seat against republican mazi melesa pilip flipping the swing district and narrowing the margin of republican control in congress secretary of homeland security alejandro mayorkas is impeached by the house of representatives,,,,,,
2024-02-14,,kansas city parade shooting one person is killed and at least nine are injured after a mass shooting during the kansas city chiefs super bowl lviii championship parade at union station in kansas city missouri two armed suspects were arrested at the scene,a study reviews educational content of universities worldwide finding higher education is not transitioning from fossil fuels to renewable energy curricula failing to meet the growing demand for a clean energy workforce on february a study analyzing funding sources and activities of two prominent academic centers delineates animal agriculture industry entrenchment in academia through support of industrysupported research and policy advocacy amid potential unfavorable policies,indonesian general election prabowo subianto wins the presidential election and the democratic party of struggle wins the most votes in the legislative election indonesian general election prabowo subianto wins the presidential election and the democratic party of struggle wins the most votes in the legislative election indonesian general election,,,,,,,,,,,,,,
2024-02-16,,,,,,,,,,,,alexei navalny a russian opposition leader dies under mysterious circumstances at the age of,,,,,,
2024-02-17,,former congressman george santos sues late night host jimmy kimmel for on charges of copyright infringement fraud breach of contract and unjust enrichment after kimmel purchased cameo videos from santos through fake names then used them on his show,,dominican republic municipal elections,,,,a global review of harms from personal car automobility finds cars have killed million people since their invention with automobility causing roughly every th death and summarises interventions that are ready for implementation to reduce the largely crashlinked or pollutionmediated deaths from automobilitycentrism and dependency,,,,,zagreb protest,,asian indoor athletics championships athletics continental winner china,,,
2024-02-18,,burnsville shooting police and medics were fired upon from a home while responding to a domestic incident in burnsville minnesota two officers and a firefighter were killed while another officer suffered a gunshot wound after opening fire on first responders the shooter fatally shot himself,,galician regional election galician regional election,,,,,,,,,,,dubai tennis championships tennis international winner men ugo humbertwomen jasmine paolini nba allstar game basketball domestic winner eastern conference,,,
2024-02-19,,,,,,,,,,,,,,,the daytona is held with william byron of axaltas racing team winning,,,
2024-02-20,,three passengers who were on alaska airlines flight sue boeing for billion for negligence claiming the incident caused them physical injuries and posttraumatic stress disorder,,,,,,,,,,,,the northern green anaconda eunectes akayima a new species of the giant snake is described for the first time,concacaf w gold cup association football continental winner united states,,,
2024-02-22,,lixinsha bridge collapse five people are killed when a ship rams the lixinsha bridge in guangzhou,,,,valencia residential complex fire at least people are killed in a fire at a storey residential building in valencia,,,,,,,,,recopa sudamericana association football continental winner fluminense,american company intuitive machines novac lander becomes the first commercial vehicle to land on the moon american company intuitive machines novac lander named odysseus becomes the first commercial vehicle to land on the moon in the im mission the lander includes a lunar library that contains a version of the english wikipedia artworks selections from the internet archive portions of the project gutenberg and more it is projected to reside on the moon in a readable state for billions of years bluesky an open social web were excited to announce that the bluesky network is federating and opening up in a way that allows you to host your own data,,
2024-02-23,,,,,,,,,,,,,,,uefa womens nations league finals association football continental winner spain,,,
2024-02-24,,nanjing building fire a fire at an apartment block in nanjing kills people,,,,,,,,,,,,,,,,
2024-02-25,,,,cambodian senate election sardinian regional election belarusian parliamentary election,,,,,,,,,israelhamas war protests in the united states an air force member identified as aaron bushnell commits selfimmolation in front of the embassy of israel in dc as a protest against american support of israels war against hamas he later died of his injuries,,,,,
2024-02-26,,the body of mahogany jackson is discovered in an illegal dump site in birmingham alabama,,jamaican local elections,,,,,,,,hungarian presidential election,,a small trial suggests prebiotic resistant starch contained in many foods can help in weight loss kg in weeks,,,,
2024-02-27,,,,israeli municipal elections,sony interactive entertainment laid off employees across various studios,the smokehouse creek fire in the texas panhandle burns almost acres resulting in a state of emergency for the area,,,,,,,,,,,,
2024-02-28,,haitian jailbreak a state of emergency is declared by the haitian government after gangs storm two prisons and demand the resignation of prime minister ariel henry,,,toys for bob split from activision and became independent,,,,,china urges the worlds largest nuclear states to negotiate a nofirstuse treaty,,mitch mcconnell announces that he will step down as senate republican leader in january hes been serving as the senate republican leader since an investigation is launched into a corruption scandal involving several political figures and allies of prime minister pedro sanchez,,,,electronic arts laid off staff,,
2024-02-29,,,,,,,,,,,,,,,,,,gaza war soldiers of the israel defense forces open fire on a crowd of civilians in gaza city killing more than people as the palestinian casualties of the war exceed
2024-03-01,,,,,,,,,,,,iranian legislative election,,,caitlin clark breaks the alltime ncaa division i college basketball career scoring record that had been held by pete maravich with points world athletics indoor championships athletics international winner united states,,,
2024-03-02,,,,,,,,,,,,,,,u copa libertadores association football continental winner flamengo bahrain grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,united states support for israel in the israelhamas war the united states military announces plans to begin airdropping humanitarian aid into gaza
2024-03-03,,,,salvadoran general election february and,,,,,,,,,,,tokyo marathon wmm marathon international winner men benson kiprutowomen sutume kebede afc u womens asian cup association football continental winner north korea,,,
2024-03-06,,,,belizean municipal elections,,,,,,,,,,the first creation of induced pluripotent stem cells for the asian elephant is reported by colossal biosciences a key step towards deextinction of the woolly mammoth,indian wells open tennis international winner men carlos alcarazwomen iga witek,,,
2024-03-07,,,,,,,,,,as the final nordic country to join the alliance sweden officially joins nato becoming its nd member after finland a year earlier,,president biden delivers his third state of the union address,,,,,,
2024-03-08,,,,,,,,,,,,,,sega of america laid off employees across its qa and localization departments,,,activision qa workers unionized under the communications workers of america cwa creating the largest video game union in north america,
2024-03-09,,,,,,utah adopts its new state flag years after the adoption of its former flag,,,,,,pakistani presidential election,,,saudi arabian grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,
2024-03-10,,,,abruzzo regional election portuguese legislative election the democratic alliance wins a plurality of seats and forms a minority government amid losses by the incumbent socialist party and major gains by the rightwing chega party portuguese legislative election in portugal the portuguese legislative election is held,,,,,,,,,,,ofc womens champions league final association football continental winner auckland united,,,
2024-03-11,,,,,,seven miners are killed and others are injured in an explosion inside a coal mine in anhui,,,,,,haitian acting prime minister ariel henry announces his pending resignation from both offices amid an ongoing crisis marked by gang warfare in the country,,,,,,
2024-03-12,,,,,,,,,,,,,,geologists identify a millionyear cycle in deepsea sedimentary data caused by an orbital interaction between earth and mars,,blueskys stackable approach to moderation today were open sourcing ozone a tool that lets a team of moderators or curators collaboratively review reports create labels and inspect content on the atproto network later this week were opening up the,,
2024-03-13,the artificial intelligence act the worlds first comprehensive legal and regulatory framework for artificial intelligence is passed by the european union,,,,,two people are killed and others are injured during an explosion caused by a suspected gas leak at a restaurant in langfang,,,,the united states deploys a marine corps security force regiment platoon to secure the us embassy complex in portauprince haiti and evacuate embassy staff and other americans citizens amid the ongoing gang war crisis in the country,,,,,south american u womens championship association football continental winner brazil,,,
2024-03-14,,,,,,,,,,,,,,,players championship golf international winner scottie scheffler,spacex successfully launches the starship spacecraft but loses the rocket upon reentering the atmosphere spacex successfully launches the first starship rocket the most powerful rocket ever built at the starbase launch site in boca chica texas after two previous failed attempts however the vehicle is lost during reentry,embracer group divested saber interactive and a portion of its studios to a private firm for million,the united nations estimates that at least of palestinian civilians killed in the gaza war were women and children
2024-03-16,,a gunman kills three people in falls township pennsylvania and escapes in a stolen car the suspect subsequently travels to trenton new jersey where he barricades himself with several hostages,,,,,,,,,,,,,so paulo eprix march fe formula racing international winner sam bird neom mclaren formula e team,,,
2024-03-17,,,,russian presidential election march,,,,,,,,,,,,,,
2024-03-18,,,,,,,joann stores files for chapter bankruptcy after accumulating over billion in debt,,,,,,,,,,the game developers conference was held in san francisco,
2024-03-19,,,,,,,founder of chinese property developer evergrande group hui ka yan is fined million yuan us million and barred from the securities market for life after china securities regulatory commission accused the group for inflating its revenue,,,hong kong passes basic law article a new additional national security law aligning the city more closely with mainland china,,,,,miami open tennis international winner men jannik sinnerwomen danielle collins ncaa division i mens basketball tournament basketball domestic winner uconn huskies,,,
2024-03-20,,,,,,linfen highway accident a bus crashes into a tunnel wall along the hohhotbeihai expressway in linfen shanxi province killing people and injuring,,,,,,,,,ncaa division i womens basketball tournament basketball domestic winner south carolina gamecocks,the biden administration announces new vehicle emission standards for as it pushes for wider adoption of hybrid and electric vehicles the removal of hiv from infected cells using crispr gene editing technology is reported,,
2024-03-21,,,,,,,,,,,,,,,concacaf nations league finals association football continental winner united states,a man identified as richard slayman receives a kidney from a genetically engineered pig at massachusetts general hospital in boston this medical breakthrough could see the end of dialysis treatment,,
2024-03-22,,islamic stateaffiliated gunmen attack concertgoers at crocus city hall in krasnogorsk russia killing at least people and injuring,,,,,,,,,,,,,,,,
2024-03-23,,,,tasmanian state election,,,,,,,,,,,,,,
2024-03-24,,,,senegalese presidential election senegalese presidential election bassirou diomaye faye is elected president after his party and its former candidate ousmane sonko were disqualified senegalese presidential election bassirou diomaye faye is elected president after his party and its former candidate ousmane sonko were disqualified,,,,,,,,,,,australian grand prix f formula racing international winner carlos sainz jr scuderia ferrari,,,
2024-03-25,,,,,,,,,,the un security council passes a resolution calling for an immediate ceasefire in the gaza war and demanding the immediate and unconditional release of all hostages,,,,,,,,
2024-03-26,,,,,,a container ship collides with the francis scott key bridge in baltimore maryland united states causing a total collapse of the bridge and the deaths of six people,,,,,a study outlines identified ecological pandemic prevention measures for policy frameworks,,,,,,,
2024-03-27,,rockford stabbings four people are killed and seven others are injured during a mass stabbing in rockford illinois,,,,,,,,,,,,,,,,
